date,l_ipn,r_asn,f,compromised,weekday,month,is_weekend
2006-07-01,0,-1.1711258964046594,-0.016117355187611336,0,5,7,1
2006-07-01,0,-1.169794759722046,-0.016117355187611336,0,5,7,1
2006-07-01,0,-1.1160373167703541,-0.016117355187611336,0,5,7,1
2006-07-01,0,-1.0708810646909332,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.9854835267448171,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.9029530524227912,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.878275826229729,-0.014035776995513708,0,5,7,1
2006-07-01,0,-0.819603417065311,-0.015770425488928395,0,5,7,1
2006-07-01,0,-0.6677514401179608,-0.015943890338269866,0,5,7,1
2006-07-01,0,-0.5795892336771864,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.5555263782607148,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.5126228190287931,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.31059722865986394,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.14338598229774463,-0.016117355187611336,0,5,7,1
2006-07-01,0,-0.11717282916320543,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.020036644275398308,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.039491718867439136,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.04133483119721142,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.12335332987207828,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.13390002820355304,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.13553835027446173,-0.012821523050123426,0,5,7,1
2006-07-01,0,0.17700837769433825,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.18950058348501708,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.24192688975409554,-0.009872620611318453,0,5,7,1
2006-07-01,0,0.47272551149335884,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.5211584077145973,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.729430100978866,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.7480660145354524,-0.016117355187611336,0,5,7,1
2006-07-01,0,0.8314156498929326,-0.016117355187611336,0,5,7,1
